"filename", "language", "Markdown", "GLSL", "XML", "HTML", "YAML", "C", "C++", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00011_source.html", "HTML", 0, 0, 0, -132, 0, 0, 0, 0, 0, -5, -3, -140
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00012.html", "HTML", 0, 0, 0, -124, 0, 0, 0, 0, 0, -5, -6, -135
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00012_source.html", "HTML", 0, 0, 0, -129, 0, 0, 0, 0, 0, -5, -3, -137
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00013.html", "HTML", 0, 0, 0, -129, 0, 0, 0, 0, 0, -5, -6, -140
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00013_source.html", "HTML", 0, 0, 0, -143, 0, 0, 0, 0, 0, -5, -3, -151
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00014.html", "HTML", 0, 0, 0, -121, 0, 0, 0, 0, 0, -5, -6, -132
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00014_source.html", "HTML", 0, 0, 0, -134, 0, 0, 0, 0, 0, -5, -3, -142
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00015.html", "HTML", 0, 0, 0, -257, 0, 0, 0, 0, 0, -5, -6, -268
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00015_source.html", "HTML", 0, 0, 0, -269, 0, 0, 0, 0, 0, -5, -3, -277
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00016.html", "HTML", 0, 0, 0, -121, 0, 0, 0, 0, 0, -5, -6, -132
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00016_source.html", "HTML", 0, 0, 0, -132, 0, 0, 0, 0, 0, -5, -3, -140
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00017.html", "HTML", 0, 0, 0, -433, 0, 0, 0, 0, 0, -5, -6, -444
